,previous_qualification,previous_qualification_grade_,mother_s_qualification,father_s_qualification,mother_s_occupation,father_s_occupation,admission_grade,educational_special_needs,gender,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
47,1,130.0,19,19,9,9,127.6,0,0,18,0,11.1,0.6,2.02,Graduate
48,1,132.0,37,19,7,7,132.4,0,0,22,0,11.1,0.6,2.02,Graduate
49,39,130.0,1,19,9,9,133.4,0,0,21,0,12.4,0.5,1.79,Graduate
50,1,139.0,37,38,9,9,126.1,0,0,19,0,12.7,3.7,-1.7,Graduate
51,1,130.0,19,38,9,7,113.5,0,0,24,0,12.4,0.5,1.79,Graduate
52,1,139.0,37,38,6,6,121.3,0,0,19,0,9.4,-0.8,-3.12,Enrolled
53,1,127.0,1,19,7,7,121.8,0,0,20,0,9.4,-0.8,-3.12,Enrolled
54,1,167.0,37,37,90,90,159.3,0,0,19,0,7.6,2.6,0.32,Graduate
55,1,130.0,38,38,9,9,120.0,0,0,27,0,9.4,-0.8,-3.12,Dropout
56,1,130.0,1,19,5,5,129.1,0,0,18,0,15.5,2.8,-4.06,Graduate
57,3,130.0,1,3,4,3,130.0,0,0,39,0,12.4,0.5,1.79,Dropout
58,40,129.0,3,3,2,2,155.3,0,0,27,0,12.4,0.5,1.79,Dropout
59,1,141.0,38,38,7,10,139.8,0,0,18,0,9.4,-0.8,-3.12,Graduate
60,1,125.0,38,37,4,9,115.2,0,0,18,0,7.6,2.6,0.32,Enrolled
61,1,125.0,19,19,9,9,114.9,0,0,18,0,16.2,0.3,-0.92,Graduate
62,39,130.0,19,1,9,9,131.9,0,0,21,0,13.9,-0.3,0.79,Graduate
63,1,133.0,1,37,4,7,126.0,0,1,19,0,10.8,1.4,1.74,Enrolled
64,1,127.0,1,1,3,4,130.2,0,1,19,0,10.8,1.4,1.74,Enrolled
65,1,116.0,1,1,3,3,120.9,0,1,24,0,12.7,3.7,-1.7,Enrolled
66,19,133.1,1,1,5,5,126.0,0,1,29,0,13.9,-0.3,0.79,Dropout
67,1,139.0,19,19,5,3,128.2,0,1,19,0,10.8,1.4,1.74,Graduate
68,39,130.0,19,37,9,9,130.0,0,1,23,0,8.9,1.4,3.51,Graduate
69,1,125.0,1,38,7,7,120.1,0,1,19,0,16.2,0.3,-0.92,Dropout
70,1,160.0,19,37,7,10,100.0,0,1,26,0,12.7,3.7,-1.7,Enrolled
71,1,148.0,38,37,5,5,134.0,0,1,18,0,7.6,2.6,0.32,Enrolled
72,1,150.0,37,19,8,4,130.8,0,1,24,0,13.9,-0.3,0.79,Graduate
73,1,141.0,19,19,5,10,135.8,0,1,19,0,15.5,2.8,-4.06,Dropout
74,1,118.0,38,37,5,7,111.7,0,1,18,0,12.4,0.5,1.79,Dropout
75,1,142.0,38,38,9,9,132.9,0,1,18,0,10.8,1.4,1.74,Graduate
76,1,120.0,19,19,4,7,115.5,0,1,18,0,10.8,1.4,1.74,Dropout
77,1,106.0,19,37,7,7,106.0,0,1,21,0,9.4,-0.8,-3.12,Dropout
78,1,121.0,1,19,9,8,120.3,0,1,19,0,8.9,1.4,3.51,Graduate
79,1,150.0,38,37,9,9,130.8,0,1,22,0,16.2,0.3,-0.92,Graduate
80,1,120.0,37,37,9,6,117.0,0,1,33,0,10.8,1.4,1.74,Graduate
81,1,114.0,19,19,9,9,110.2,0,1,20,0,10.8,1.4,1.74,Dropout
82,2,140.0,3,3,2,2,155.7,0,1,35,0,10.8,1.4,1.74,Dropout
83,4,160.0,3,3,4,2,180.4,0,1,24,0,12.4,0.5,1.79,Dropout
84,1,120.0,19,19,4,4,125.5,0,1,18,0,12.7,3.7,-1.7,Enrolled
85,1,130.0,37,37,9,6,110.0,0,0,33,0,9.4,-0.8,-3.12,Graduate
86,1,160.0,37,38,9,7,161.0,0,0,22,0,10.8,1.4,1.74,Graduate
87,1,120.0,1,19,4,5,100.0,0,0,25,0,9.4,-0.8,-3.12,Graduate
88,1,124.0,19,38,4,0,117.6,0,1,20,0,7.6,2.6,0.32,Graduate
89,1,143.0,38,37,9,9,128.7,0,1,23,0,11.1,0.6,2.02,Enrolled
90,1,115.0,38,19,9,6,112.2,0,1,18,0,15.5,2.8,-4.06,Enrolled
91,1,133.1,1,1,4,10,100.8,0,1,24,0,13.9,-0.3,0.79,Dropout
92,1,133.1,19,1,9,9,105.0,0,0,21,1,8.9,1.4,3.51,Graduate
93,1,133.1,1,1,4,4,100.0,0,0,26,1,8.9,1.4,3.51,Dropout
94,10,133.1,37,34,0,0,115.5,0,0,39,0,7.6,2.6,0.32,Dropout
95,1,133.1,37,19,9,9,114.0,0,0,44,0,12.7,3.7,-1.7,Graduate
96,1,130.0,38,3,9,2,137.0,0,1,19,1,13.9,-0.3,0.79,Enrolled
97,1,135.0,37,1,5,5,124.9,0,0,18,0,8.9,1.4,3.51,Graduate
98,1,132.0,37,37,7,7,120.3,0,0,18,0,12.4,0.5,1.79,Graduate
99,1,135.0,1,2,9,1,134.3,0,0,19,0,12.7,3.7,-1.7,Enrolled
100,1,115.0,3,3,2,2,111.5,0,0,19,0,13.9,-0.3,0.79,Dropout
101,42,130.0,38,38,9,9,128.8,0,0,21,0,8.9,1.4,3.51,Dropout
102,1,133.1,1,1,9,10,110.0,0,0,20,0,16.2,0.3,-0.92,Graduate
103,1,130.0,37,37,6,5,113.5,0,0,36,0,9.4,-0.8,-3.12,Dropout
104,12,133.1,37,37,9,6,160.0,0,0,43,0,15.5,2.8,-4.06,Graduate
105,1,123.0,19,19,9,7,117.4,0,0,19,0,11.1,0.6,2.02,Dropout
106,1,130.0,3,1,2,8,122.2,0,0,20,0,11.1,0.6,2.02,Graduate
107,1,122.0,37,38,4,7,118.2,0,0,19,0,16.2,0.3,-0.92,Dropout
108,1,113.0,1,1,4,4,106.7,0,0,20,0,15.5,2.8,-4.06,Dropout
109,1,111.0,3,4,4,3,108.2,0,0,20,0,12.4,0.5,1.79,Dropout
110,1,133.1,19,1,9,3,107.0,0,0,20,0,16.2,0.3,-0.92,Enrolled
111,1,142.0,37,37,6,7,136.1,0,0,18,0,13.9,-0.3,0.79,Graduate
112,1,123.0,1,38,4,7,115.3,0,0,18,0,8.9,1.4,3.51,Enrolled
113,1,131.0,19,19,9,9,139.8,0,0,19,0,10.8,1.4,1.74,Graduate
114,1,158.0,1,38,4,7,157.0,0,0,18,0,10.8,1.4,1.74,Graduate
115,1,122.0,37,37,9,9,131.0,0,0,18,0,7.6,2.6,0.32,Dropout
116,1,130.0,38,38,9,5,100.0,0,0,20,0,13.9,-0.3,0.79,Enrolled
117,1,154.0,19,37,9,7,140.4,0,0,20,0,7.6,2.6,0.32,Enrolled
118,1,120.0,19,19,3,3,113.4,0,0,20,0,12.4,0.5,1.79,Enrolled
119,1,140.0,37,38,9,7,137.0,0,0,18,0,9.4,-0.8,-3.12,Graduate
120,1,127.0,2,19,4,5,121.8,0,0,18,0,11.1,0.6,2.02,Graduate
121,1,133.1,1,1,4,5,131.0,0,0,21,0,9.4,-0.8,-3.12,Dropout
122,1,120.0,19,19,9,7,118.6,0,0,19,0,16.2,0.3,-0.92,Graduate
123,1,137.0,3,19,2,9,122.3,0,0,19,0,10.8,1.4,1.74,Dropout
124,1,131.0,38,38,9,9,127.9,0,0,19,0,9.4,-0.8,-3.12,Graduate
125,1,130.0,19,38,4,7,121.3,0,0,19,0,15.5,2.8,-4.06,Graduate
126,1,122.0,1,1,4,5,117.1,0,0,19,0,13.9,-0.3,0.79,Dropout
127,39,160.0,37,37,9,9,160.0,0,0,20,0,12.4,0.5,1.79,Graduate
128,1,146.0,19,38,9,3,145.3,0,0,18,0,9.4,-0.8,-3.12,Enrolled
129,1,131.0,1,39,5,3,122.6,0,0,18,0,12.4,0.5,1.79,Graduate
130,1,132.0,1,37,8,9,128.0,0,0,19,0,12.4,0.5,1.79,Graduate
131,1,138.0,19,19,5,8,124.9,0,0,18,0,13.9,-0.3,0.79,Dropout
132,1,130.0,37,37,9,9,123.7,0,0,18,0,7.6,2.6,0.32,Graduate
133,1,126.0,1,19,4,8,120.1,0,0,19,0,8.9,1.4,3.51,Graduate
134,1,148.0,1,19,3,3,131.7,0,0,19,0,13.9,-0.3,0.79,Dropout
135,1,130.0,38,37,9,7,133.2,0,0,20,0,7.6,2.6,0.32,Graduate
136,1,117.0,1,38,3,9,109.3,0,0,19,0,12.4,0.5,1.79,Dropout
137,1,120.0,19,19,5,5,113.0,0,0,20,0,7.6,2.6,0.32,Graduate
138,1,153.0,1,1,141,175,157.9,0,0,18,0,8.9,1.4,3.51,Graduate
139,1,117.0,19,1,4,7,112.1,0,0,20,0,11.1,0.6,2.02,Enrolled
140,1,178.0,19,1,4,8,174.7,0,0,18,0,13.9,-0.3,0.79,Graduate
141,1,129.0,37,37,9,9,128.8,0,0,19,0,7.6,2.6,0.32,Graduate
142,1,116.0,19,1,4,4,110.1,0,0,19,0,12.4,0.5,1.79,Graduate
143,1,99.0,3,1,3,3,99.7,0,0,22,0,8.9,1.4,3.51,Enrolled
144,1,135.0,1,12,9,10,121.0,0,0,19,0,12.4,0.5,1.79,Graduate
145,1,141.0,19,19,9,7,131.7,0,0,19,0,15.5,2.8,-4.06,Graduate
146,1,132.0,37,38,5,6,119.1,0,0,19,0,9.4,-0.8,-3.12,Graduate
147,1,132.0,12,19,9,9,124.7,0,0,19,0,7.6,2.6,0.32,Dropout
148,1,113.0,1,37,9,10,117.2,0,0,20,0,7.6,2.6,0.32,Dropout
149,1,134.0,3,19,2,10,128.8,0,0,18,0,13.9,-0.3,0.79,Graduate
150,1,136.0,1,19,9,9,131.5,0,0,20,0,11.1,0.6,2.02,Graduate
151,1,136.0,3,37,2,8,121.7,0,0,18,0,9.4,-0.8,-3.12,Enrolled
152,1,129.0,1,38,4,7,123.4,0,0,19,0,7.6,2.6,0.32,Graduate
153,1,138.0,38,38,7,6,124.7,0,0,18,0,9.4,-0.8,-3.12,Enrolled
154,1,137.0,37,37,9,9,132.8,0,0,18,0,7.6,2.6,0.32,Graduate
155,1,115.0,3,37,2,5,108.7,0,0,21,0,9.4,-0.8,-3.12,Dropout
156,1,129.0,38,37,6,6,138.1,0,0,19,0,7.6,2.6,0.32,Dropout
157,1,131.0,38,38,9,9,126.5,0,0,18,0,12.4,0.5,1.79,Graduate
158,1,133.0,1,37,7,9,127.4,0,0,18,0,12.7,3.7,-1.7,Graduate
159,1,125.0,19,1,9,10,123.6,0,0,20,0,9.4,-0.8,-3.12,Graduate
160,1,120.0,1,19,6,8,122.0,0,0,24,0,11.1,0.6,2.02,Graduate
161,1,128.0,19,1,4,1,118.2,0,0,19,0,10.8,1.4,1.74,Dropout
162,1,127.0,19,37,9,7,123.9,0,0,18,0,15.5,2.8,-4.06,Graduate
163,1,134.0,19,19,9,9,125.8,0,0,18,0,15.5,2.8,-4.06,Graduate
164,1,132.0,12,12,4,4,123.3,0,0,21,0,10.8,1.4,1.74,Dropout
165,1,124.0,1,19,5,4,124.4,0,0,19,0,7.6,2.6,0.32,Graduate
166,1,133.1,19,37,7,7,126.0,0,0,19,0,15.5,2.8,-4.06,Graduate
167,1,170.0,1,37,6,6,170.0,0,0,47,0,8.9,1.4,3.51,Enrolled
168,1,125.0,19,19,7,8,121.5,0,0,19,0,13.9,-0.3,0.79,Graduate
169,3,130.0,2,2,1,1,130.0,0,0,29,0,12.7,3.7,-1.7,Graduate
170,1,125.0,19,19,4,8,117.0,0,0,21,0,16.2,0.3,-0.92,Dropout
171,1,130.0,37,19,9,7,130.0,0,0,28,0,12.7,3.7,-1.7,Enrolled
172,1,133.1,37,37,3,10,108.0,0,0,20,0,15.5,2.8,-4.06,Graduate
173,1,131.0,2,38,4,5,132.3,0,0,19,0,7.6,2.6,0.32,Graduate
174,1,150.0,19,2,4,6,148.0,0,0,26,0,9.4,-0.8,-3.12,Graduate
175,1,125.0,37,37,9,8,122.6,0,0,20,0,11.1,0.6,2.02,Dropout
176,1,131.0,37,37,9,9,123.0,0,0,18,0,7.6,2.6,0.32,Enrolled
177,1,130.0,37,19,9,5,102.5,0,0,27,0,7.6,2.6,0.32,Graduate
178,1,123.0,34,34,90,90,113.3,0,0,20,0,7.6,2.6,0.32,Dropout
179,1,141.0,37,19,9,5,133.0,0,0,18,0,9.4,-0.8,-3.12,Dropout
180,3,140.0,1,1,9,5,140.0,0,0,33,0,16.2,0.3,-0.92,Dropout
181,1,140.0,3,1,3,3,128.3,0,0,35,0,12.4,0.5,1.79,Graduate
182,39,140.0,37,19,9,8,140.0,0,0,26,0,9.4,-0.8,-3.12,Enrolled
183,19,133.1,19,19,3,4,104.0,0,0,27,0,11.1,0.6,2.02,Dropout
184,1,131.0,1,37,5,5,122.3,0,0,19,0,15.5,2.8,-4.06,Dropout
185,1,143.0,1,19,4,6,135.0,0,0,20,0,11.1,0.6,2.02,Dropout
186,1,132.0,3,3,5,7,119.1,0,0,20,0,10.8,1.4,1.74,Dropout
187,1,143.0,1,37,5,9,126.6,0,0,21,0,9.4,-0.8,-3.12,Enrolled
188,1,141.0,38,1,9,4,129.0,0,0,18,0,7.6,2.6,0.32,Graduate
189,1,133.1,1,19,9,9,162.3,0,0,24,0,8.9,1.4,3.51,Dropout
190,1,148.0,1,3,4,1,163.4,0,0,20,0,16.2,0.3,-0.92,Graduate
191,1,125.0,19,38,9,8,121.5,0,0,21,0,13.9,-0.3,0.79,Graduate
192,1,120.0,1,37,7,3,122.8,0,0,23,0,9.4,-0.8,-3.12,Enrolled
193,1,140.0,12,3,4,3,118.0,0,0,24,0,7.6,2.6,0.32,Dropout
194,1,139.0,1,1,4,10,134.0,0,0,21,0,12.4,0.5,1.79,Dropout
195,1,142.0,38,38,9,8,129.8,0,0,18,0,12.7,3.7,-1.7,Graduate
196,40,130.0,19,1,3,4,152.0,0,0,27,0,8.9,1.4,3.51,Dropout
197,1,126.0,37,37,5,5,122.8,0,0,18,0,9.4,-0.8,-3.12,Graduate
198,3,150.0,3,2,2,2,150.0,0,0,35,0,13.9,-0.3,0.79,Dropout
199,1,130.0,19,19,3,8,131.8,0,0,18,0,11.1,0.6,2.02,Graduate
200,1,120.0,1,3,175,121,105.9,0,0,35,0,11.1,0.6,2.02,Enrolled
201,1,138.0,1,1,4,7,132.1,0,0,19,0,10.8,1.4,1.74,Graduate
202,1,127.0,19,19,4,0,127.4,0,0,20,0,7.6,2.6,0.32,Graduate
203,1,140.0,19,19,7,7,129.5,0,0,18,0,10.8,1.4,1.74,Graduate
204,39,130.0,38,38,5,10,126.7,0,0,21,0,13.9,-0.3,0.79,Graduate
205,1,128.0,19,37,9,8,116.5,0,0,18,0,16.2,0.3,-0.92,Graduate
206,1,132.0,34,34,0,0,119.1,0,0,18,0,7.6,2.6,0.32,Graduate
207,1,149.0,19,38,9,9,126.5,0,0,18,0,12.7,3.7,-1.7,Graduate
208,1,155.0,3,19,1,4,149.8,0,0,18,0,16.2,0.3,-0.92,Graduate
209,1,120.0,19,1,8,7,115.1,0,0,19,0,13.9,-0.3,0.79,Graduate
210,19,133.1,3,19,2,3,124.5,0,0,36,0,16.2,0.3,-0.92,Dropout
211,1,131.0,38,1,7,4,128.3,0,0,18,0,12.7,3.7,-1.7,Graduate
212,1,149.0,37,37,9,9,136.0,0,0,18,0,7.6,2.6,0.32,Graduate
213,1,140.0,1,3,9,2,140.0,0,0,20,0,13.9,-0.3,0.79,Graduate
214,1,133.1,37,37,9,9,126.3,0,0,26,0,16.2,0.3,-0.92,Dropout
215,1,122.0,1,1,4,5,126.9,0,0,21,0,7.6,2.6,0.32,Graduate
216,40,130.0,1,1,4,5,145.0,0,0,25,0,15.5,2.8,-4.06,Enrolled
217,1,121.0,19,3,5,5,115.8,0,0,19,0,12.4,0.5,1.79,Graduate
218,1,120.0,19,37,8,7,100.0,0,0,24,0,9.4,-0.8,-3.12,Dropout
219,1,133.1,1,19,5,4,102.5,0,0,27,0,8.9,1.4,3.51,Dropout
220,1,121.0,19,37,1,3,131.5,0,0,21,0,7.6,2.6,0.32,Dropout
221,1,133.0,38,38,7,7,147.0,0,0,18,0,9.4,-0.8,-3.12,Graduate
222,1,134.0,37,37,5,7,122.5,1,0,19,0,10.8,1.4,1.74,Graduate
223,1,115.0,1,1,3,3,117.5,0,0,18,0,9.4,-0.8,-3.12,Dropout
224,1,127.0,19,1,5,9,150.0,0,0,19,0,11.1,0.6,2.02,Graduate
225,1,135.0,1,38,4,5,127.5,0,0,19,0,16.2,0.3,-0.92,Graduate
226,43,140.0,40,5,3,3,140.0,0,0,33,0,11.1,0.6,2.02,Graduate
227,3,130.0,1,4,3,10,130.0,0,0,45,0,12.4,0.5,1.79,Graduate
228,1,135.0,1,1,9,9,133.3,0,0,20,0,11.1,0.6,2.02,Graduate
229,1,140.0,34,34,0,0,97.0,0,0,28,0,7.6,2.6,0.32,Dropout
230,1,120.0,1,1,5,8,112.0,0,0,19,0,12.7,3.7,-1.7,Graduate
231,1,140.0,1,37,4,5,123.6,0,0,18,0,12.7,3.7,-1.7,Graduate
232,3,133.1,19,19,4,6,130.5,0,0,38,0,15.5,2.8,-4.06,Dropout
233,1,135.0,1,3,4,3,133.3,0,0,19,0,9.4,-0.8,-3.12,Graduate
234,1,123.0,1,37,9,9,132.1,0,0,21,0,15.5,2.8,-4.06,Graduate
235,1,133.1,37,1,9,10,100.0,0,0,21,0,16.2,0.3,-0.92,Dropout
236,1,154.0,38,37,9,9,140.4,0,0,22,0,10.8,1.4,1.74,Graduate
237,1,148.0,19,19,5,7,141.7,0,0,18,0,9.4,-0.8,-3.12,Graduate
238,1,133.0,37,37,3,9,119.7,1,0,18,0,15.5,2.8,-4.06,Graduate
239,1,126.0,19,1,9,9,122.5,0,0,25,0,9.4,-0.8,-3.12,Dropout
240,19,133.1,19,19,9,7,140.0,0,0,24,0,16.2,0.3,-0.92,Dropout
241,1,125.0,3,1,4,4,119.4,0,0,19,0,12.4,0.5,1.79,Enrolled
242,1,145.0,3,3,3,3,155.0,0,0,24,0,12.4,0.5,1.79,Enrolled
243,1,118.0,37,19,5,5,119.1,0,0,20,0,12.4,0.5,1.79,Graduate
244,1,120.0,37,1,9,1,122.7,0,0,25,0,10.8,1.4,1.74,Dropout
245,1,127.0,38,19,9,10,117.9,0,0,20,0,8.9,1.4,3.51,Graduate
246,3,130.0,19,38,5,3,130.0,0,0,23,0,9.4,-0.8,-3.12,Graduate
247,1,129.0,19,37,7,6,120.0,0,0,19,0,10.8,1.4,1.74,Graduate
248,39,130.0,37,37,9,10,130.0,0,0,29,0,13.9,-0.3,0.79,Dropout
249,1,121.0,19,37,4,7,116.8,0,0,21,0,11.1,0.6,2.02,Graduate
250,1,136.0,19,1,9,8,123.4,0,0,18,0,11.1,0.6,2.02,Graduate
251,1,125.0,19,38,9,9,125.4,0,0,19,0,9.4,-0.8,-3.12,Enrolled
252,1,131.0,38,37,7,7,127.2,0,0,18,0,8.9,1.4,3.51,Dropout
253,1,122.0,9,19,90,6,103.4,0,0,19,0,7.6,2.6,0.32,Graduate
254,1,127.0,37,37,9,8,123.2,0,0,18,0,9.4,-0.8,-3.12,Enrolled
255,1,136.0,1,1,4,4,124.1,0,0,18,0,8.9,1.4,3.51,Graduate
256,19,133.1,38,37,7,7,99.5,0,0,37,0,8.9,1.4,3.51,Dropout
257,40,127.0,37,37,6,6,124.9,0,0,29,0,16.2,0.3,-0.92,Graduate
258,1,116.0,37,37,9,9,110.8,0,0,18,0,7.6,2.6,0.32,Enrolled
259,1,121.0,1,1,9,8,118.9,0,0,19,0,12.4,0.5,1.79,Graduate
260,1,124.0,1,1,3,1,118.8,0,0,22,0,16.2,0.3,-0.92,Dropout
261,1,131.0,37,38,9,7,137.0,0,0,20,0,15.5,2.8,-4.06,Graduate
262,1,100.0,37,37,99,99,100.0,0,0,34,0,12.7,3.7,-1.7,Dropout
263,1,130.0,37,38,9,9,120.0,0,0,30,0,7.6,2.6,0.32,Dropout
264,1,135.0,1,1,4,4,122.8,0,0,18,0,10.8,1.4,1.74,Graduate
265,1,130.0,38,19,9,5,121.6,0,0,18,0,12.4,0.5,1.79,Graduate
266,1,146.0,3,1,1,3,149.2,0,0,18,0,9.4,-0.8,-3.12,Graduate
267,1,146.0,4,1,2,3,140.0,0,0,18,0,12.7,3.7,-1.7,Graduate
268,1,154.0,38,38,9,9,133.4,0,0,19,0,12.7,3.7,-1.7,Graduate
269,1,137.0,37,37,9,9,126.2,0,0,19,0,10.8,1.4,1.74,Graduate
270,1,151.0,1,1,9,9,127.8,0,0,18,0,12.7,3.7,-1.7,Graduate
271,39,150.0,37,38,4,8,150.0,0,0,21,0,13.9,-0.3,0.79,Graduate
272,1,121.0,1,19,9,9,113.7,0,0,20,0,7.6,2.6,0.32,Dropout
273,1,122.0,12,19,4,8,117.8,0,0,20,0,13.9,-0.3,0.79,Graduate
274,1,143.0,5,1,2,5,136.7,0,0,19,0,11.1,0.6,2.02,Graduate
275,1,152.0,1,38,4,5,144.7,0,0,20,0,16.2,0.3,-0.92,Graduate
276,1,145.0,12,1,4,10,139.8,0,0,18,0,13.9,-0.3,0.79,Graduate
277,1,120.0,37,38,3,3,113.7,0,0,20,0,12.7,3.7,-1.7,Dropout
278,3,140.0,5,4,2,0,140.0,0,0,29,0,7.6,2.6,0.32,Dropout
279,1,143.0,19,19,5,6,142.3,0,0,18,0,12.4,0.5,1.79,Enrolled
280,1,129.0,19,19,5,5,119.6,0,0,20,0,15.5,2.8,-4.06,Graduate
281,1,139.0,38,37,9,9,123.7,0,0,22,0,16.2,0.3,-0.92,Graduate
282,1,133.1,39,19,4,10,143.0,0,0,47,0,16.2,0.3,-0.92,Graduate
283,1,127.0,37,37,8,4,100.1,0,0,31,0,8.9,1.4,3.51,Graduate
284,1,126.0,19,37,7,5,119.4,0,0,21,0,16.2,0.3,-0.92,Graduate
285,1,128.0,38,38,0,0,122.1,0,0,21,0,7.6,2.6,0.32,Graduate
286,12,100.0,1,1,4,4,100.0,0,0,24,0,7.6,2.6,0.32,Graduate
287,1,123.0,4,37,2,9,113.9,0,0,18,0,15.5,2.8,-4.06,Enrolled
288,15,170.0,34,1,90,2,101.0,0,0,32,0,7.6,2.6,0.32,Graduate
289,1,117.0,3,1,3,4,111.8,0,0,19,0,10.8,1.4,1.74,Graduate
290,1,140.0,3,3,1,1,140.0,0,0,24,0,9.4,-0.8,-3.12,Graduate
291,1,123.0,19,19,4,10,124.4,0,0,19,0,15.5,2.8,-4.06,Graduate
292,39,150.0,19,37,6,6,150.0,0,0,19,0,13.9,-0.3,0.79,Graduate
293,39,140.0,37,37,9,4,140.0,0,0,24,0,12.4,0.5,1.79,Enrolled
294,1,123.0,19,19,191,144,116.0,0,0,18,0,8.9,1.4,3.51,Graduate
295,1,130.0,38,37,3,6,135.6,0,0,19,0,8.9,1.4,3.51,Dropout
296,1,137.0,3,38,2,4,121.0,0,0,19,0,10.8,1.4,1.74,Graduate
297,1,126.0,19,38,9,8,118.7,0,0,18,0,12.4,0.5,1.79,Graduate
298,1,125.0,1,1,3,3,125.7,0,0,18,0,12.4,0.5,1.79,Graduate
299,1,112.0,1,1,4,10,107.1,0,0,20,0,12.4,0.5,1.79,Graduate
300,1,141.0,19,38,5,7,125.5,0,0,18,0,9.4,-0.8,-3.12,Graduate
301,1,135.0,38,38,9,7,127.0,0,0,18,0,11.1,0.6,2.02,Graduate
